Fecha,Hora,Lugar,Observador,Barrio,Decada,Sexo,Conocimiento,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,FrecSinCoche,Acuerdo,FrecFuturo,Horario
42384,15:30h00-18:30h00,Parque Lineal,B,Pradera,90s,Hombre,No,Participante,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
42387,18:00h00-18:30h00,Parque de los Enamorados,B,Molinos,90s,Hombre,No,Participante,Si,No,NA,NA,A pie,Cada día,Desacuerdo,Nunca,NA
42386,12h00-13h00,Punzara,A,Shushuhuaico,80s,Mujer,No,Participante,No,No,NA,NA,Bicicleta,De vez en cuando,Total Acuerdo,De vez en cuando,Mañana
42384,14h00-17h21,San Sebastian,C,La Banda,60s,Mujer,Si,Participante,Si,A veces,A pie,Amigos,A pie,Cada día,Acuerdo,Mensual,Noche
17/01/16,11h00-13h18,Parque Bolivar,E,El electrisista,70s,Mujer,Si,Participante,No,A veces,Bicicleta,Familia,Bicicleta,Cada día,Total Acuerdo,NA,Mañana
42386,NA,Parque Bolivar,G,18 y colon,80s,Hombre,Si,Participante,No,A veces,Bicicleta,Familia,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Las Peñas,80s,Mujer,Si,Participante,Si,A veces,Bicicleta,Familia,A pie,Cada día,Total Acuerdo,NA,Mañana
42386,NA,Parque Bolivar,G,Juan de Salinas,90s,Hombre,Si,Participante,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
42386,15h00 -17h00,Loja,H,Las Pitas,80s,Hombre,Si,Participante,No,A veces,Bicicleta,Amigos,Bicicleta,De vez en cuando,Acuerdo,NA,Mañana
42386,12h00-13h00,Punzara,A,Pradera,90s,Hombre,Si,Participante,No,A veces,Bicicleta,Amigos,Bicicleta,De vez en cuando,Ni uno ni otro,NA,Mañana
42384,17:00h00-18:30h00,Universidad Nacional de Loja,B,San Sebastián,80s,Hombre,Si,Participante,Si,No,NA,NA,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
42386,12h00-13h00,Punzara,A,La Tebaida,90s,Mujer,Si,Participante,Si,No,NA,NA,A pie,Cada día,Acuerdo,De vez en cuando,Mañana
42387,18:00h00-18:30h00,Tebaida,B,Las Palmas,90s,Mujer,Si,Participante,No,No,NA,NA,Bicicleta y a pie,Cada día,Acuerdo,De vez en cuando,Noche
42386,12h00-13h00,Punzara,A,Tierras Coloradas,90s,Hombre,Si,Participante,No,No,NA,NA,A pie,De vez en cuando,Total Acuerdo,NA,Noche
17/01/2016,10h00-12h00,Parque Bolivar,D,Occidental,90s,Hombre,Si,Participante,Si,Si,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Noche
42384,14h00-17h05,San Sebastian,C,Daniel Alvarez,90s,Hombre,Si,Participante,Si,Si,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
42384,15h00 -17h00,Loja,J,La Paz,90s,Hombre,Si,Participante,Si,Si,Bicicleta,Amigos,Bicicleta,NA,Total Acuerdo,NA,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Plateado Alto,70s,Hombre,Si,Boca a boca,No,No,NA,NA,A pie,Cada día,Acuerdo,Nunca,Mañana
42384,18:00h00-18:30h00,Parque de los Enamorados,B,Daniel Alvarez,90s,Hombre,No,Prensa,No,No,Bicicleta,Amigos,Bicicleta,Mensual,Total Acuerdo,NA,Tarde
17/01/2016,10h00-12h00,Parque Bolivar,D,Peñon del Oeste,90s,Hombre,No,Prensa,Si,No,NA,NA,A pie,Cada día,Ni uno ni otro,Nunca,Mañana
42384,14:30h00-18:30h00,Supermaxi,B,San Sebastián,90s,Hombre,No,Prensa,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Noche
42384,14:30h00-18:30h00,Supermaxi,B,Argelia,90s,Mujer,No,Prensa,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,Mensual,Mañana
42385,17:50h00-18:30h00,Tebaida,B,La Tebaida,90s,Hombre,No,Prensa,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Noche
42384,14:30h00-18:30h00,Supermaxi,B,La Banda,90s,Hombre,No,Prensa,No,No,NA,NA,A pie y Vehículo,Cada día,Acuerdo,De vez en cuando,NA
42384,15:00h00-18:30h00,Parque Lineal,B,Estancia del Río,90s,Hombre,No,Prensa,No,No,NA,NA,Otro Vehículo,Cada día,Total Acuerdo,De vez en cuando,Mañana
42384,17:15h00-18:30h00,Universidad Nacional de Loja,B,Parque Real,90s,Hombre,No,Prensa,Si,No,NA,NA,Otro Vehículo,NA,Total Acuerdo,NA,Mañana
42384,14h00-17h12,San Sebastian,C,La Banda,60s,Mujer,Si,Prensa,Si,A veces,A pie,Amigos,A pie,Cada día,Total Acuerdo,Mensual,Tarde
NA,NA,NA,F,Centro,70s,Mujer,Si,Prensa,Si,A veces,A pie,Familia,A pie,Cada día,Total Acuerdo,NA,Noche
17/01/16,11h00-13h08,Parque Bolivar,E,Clodoveo,80s,Hombre,Si,Prensa,No,A veces,NA,NA,A pie,Cada día,Total Acuerdo,Mensual,Mañana
42386,12h00-13h00,Punzara,A,Carigan,80s,Mujer,Si,Prensa,No,A veces,A pie,Sólo,A pie,Cada día,Total Acuerdo,De vez en cuando,Tarde
42384,14h00-17h00,San Sebastian,C,Las Pitas,80s,Mujer,Si,Prensa,Si,A veces,A pie,Familia,A pie,Cada día,Total Acuerdo,NA,Mañana
42386,12h00-13h00,Punzara,A,San Vicente,90s,Hombre,Si,Prensa,No,A veces,Patineta,Sólo,Bicicleta y a pie,Cada día,Ni uno ni otro,De vez en cuando,Tarde
42386,NA,Parque Bolivar,G,Época,90s,Hombre,Si,Prensa,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
42384,14h00-17h02,San Sebastian,C,Zamora Huayco,90s,Hombre,Si,Prensa,Si,A veces,A pie,Amigos,A pie,Cada día,Total Acuerdo,Mensual,Noche
42384,14h00-17h27,San Sebastian,C,Daniel Alvarez,90s,Hombre,Si,Prensa,Si,A veces,A pie,Amigos,A pie,Cada día,Total Acuerdo,Mensual,Mañana
17/2016,11h00-13h02,Parque Bolivar,E,Esteban Godoy,90s,Hombre,Si,Prensa,Si,A veces,A pie,Familia,A pie,NA,Total desacuerdo,De vez en cuando,Tarde
42387,15h00 -17h00,Loja,H,Sauces,90s,Hombre,Si,Prensa,No,A veces,Bicicleta,Familia,Bicicleta,NA,Acuerdo,NA,Mañana
42386,12h00-13h00,Punzara,A,NA,90s,Hombre,Si,Prensa,No,A veces,Bicicleta,Sólo,Bicicleta y a pie,Mensual,Total desacuerdo,De vez en cuando,Tarde
NA,NA,NA,F,Centro,80s,Hombre,Si,Prensa,No,A veces,A pie,Sólo,A pie,NA,Total Acuerdo,De vez en cuando,Mañana
42383,15h00 -17h00,Loja,I,La Paz,90s,Mujer,Si,Prensa,Si,A veces,Bicicleta,Sólo,Bicicleta,NA,Total Acuerdo,Mensual,Tarde
42384,16:00h00-18:30h00,Parque Lineal,B,"Ciudadela ""El electricista""",60s,Mujer,Si,Prensa,Si,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
42386,12h00-13h00,Punzara,A,Carigan,80s,Hombre,Si,Prensa,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Tarde
42384,15h00 -17h00,Loja,J,Independencia,80s,Mujer,Si,Prensa,No,No,NA,NA,A pie,Cada día,Total Acuerdo,Nunca,Tarde
42384,15h00 -17h00,Loja,J,Motupe,80s,Mujer,Si,Prensa,Si,No,NA,NA,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Pucacocha,80s,Mujer,Si,Prensa,Si,No,NA,NA,A pie,Cada día,Acuerdo,De vez en cuando,Tarde
NA,NA,NA,F,Centro,80s,Mujer,Si,Prensa,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
42019,15h00 -17h00,Loja,I,Las Pitas,80s,Mujer,Si,Prensa,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,De vez en cuando,Tarde
17/01/16,11h00-13h13,Parque Bolivar,E,Clodoveo,90s,Mujer,Si,Prensa,No,No,A pie,Sólo,A pie,Cada día,Desacuerdo,De vez en cuando,Tarde
42386,12h00-13h00,Punzara,A,Clodoveo,90s,Hombre,Si,Prensa,Si,No,NA,NA,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
42386,NA,Parque Bolivar,G,Las Peñas,90s,Hombre,Si,Prensa,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Malacatos,90s,Mujer,Si,Prensa,No,No,NA,NA,A pie,Cada día,Acuerdo,Nunca,Mañana
NA,NA,NA,F,Centro,90s,Hombre,Si,Prensa,No,No,NA,NA,A pie,Cada día,Acuerdo,De vez en cuando,Tarde
42384,16:00h00-18:30h00,Parque Lineal,B,San Pedro,90s,Hombre,Si,Prensa,Si,No,NA,NA,A pie,Cada día,Total Acuerdo,Mensual,Tarde
42384,14:30h00-18:30h00,Supermaxi,B,Conzacola,90s,Hombre,Si,Prensa,Si,No,Bicicleta,Amigos,A pie,Cada día,Acuerdo,De vez en cuando,Mañana
42384,15h00 -17h00,Loja,K,La Independencia,50s,Mujer,Si,Prensa,Si,No,NA,NA,A pie,NA,Total Acuerdo,Mensual,Tarde
42384,15h00 -17h00,Loja,J,Sauces Norte,70s,Mujer,Si,Prensa,No,No,NA,NA,A pie,NA,Ni uno ni otro,Mensual,Tarde
42386,12h00-13h00,Punzara,A,El electrisista,80s,Hombre,Si,Prensa,No,No,NA,NA,A pie,De vez en cuando,Total Acuerdo,NA,Mañana
NA,NA,NA,F,Centro,60s,Mujer,Si,Prensa,No,No,NA,NA,A pie,NA,Total Acuerdo,De vez en cuando,Tarde
NA,NA,NA,F,Centro,70s,Mujer,Si,Prensa,No,No,NA,NA,A pie,NA,Total Acuerdo,NA,Mañana
42384,15h00 -17h00,Loja,J,Motupe,90s,Mujer,Si,Prensa,No,No,NA,NA,NA,NA,Total Acuerdo,Mensual,Noche
42386,12h00-13h00,Punzara,A,Carigan,80s,Hombre,Si,Prensa,No,Si,Bicicleta,Amigos,A pie,Cada día,Acuerdo,NA,Mañana
42386,12h00-13h00,Punzara,A,Sauces,80s,Hombre,Si,Prensa,Si,Si,A pie,Sólo,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Los Chorrillos,80s,Hombre,Si,Prensa,Si,Si,A pie,Familia,A pie,Cada día,Total Acuerdo,NA,Mañana
42384,17:30h00-18:30h00,Tebaida,B,Ciudadela Zamora,80s,Hombre,Si,Prensa,Si,Si,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
42386,12h00-13h00,Punzara,A,Celi Roman,90s,Mujer,Si,Prensa,Si,Si,"A pie, Patines",Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
42384,15h00 -17h00,Loja,J,El Valle,90s,Mujer,Si,Prensa,Si,Si,Bicicleta,Familia,Bicicleta,Cada día,Total Acuerdo,NA,Noche
17/01/16,11h00-13h25,Parque Bolivar,E,Centro,70s,Mujer,Si,Prensa,No,Si,Bicicleta,Amigos,A pie,NA,Acuerdo,Mensual,Tarde
42387,15h00 -17h00,Loja,H,Sauces,80s,Hombre,Si,Prensa,No,Si,Bicicleta,Familia,Bicicleta,NA,Total Acuerdo,NA,Mañana
42387,15h00 -17h00,Loja,H,La Paz,80s,Hombre,Si,Prensa,No,Si,Bicicleta,Sólo,Bicicleta,NA,Acuerdo,Mensual,Mañana
42384,15h00 -17h00,Loja,K,Las Pitas,90s,Hombre,Si,Prensa,No,NA,NA,NA,A pie,Cada día,Total Acuerdo,Mensual,Mañana
42384,15h00 -17h00,Loja,K,Sauces Norte,80s,Mujer,Si,Otro,No,NA,NA,NA,A pie,Cada día,Acuerdo,De vez en cuando,Noche
17/01/2016,10h00-12h00,Parque Bolivar,D,Lojana de Turismo,90s,Hombre,No,Redes Sociales,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
42384,15:30h00-18:30h00,Parque Lineal,B,Las Palmas,90s,Mujer,No,Redes Sociales,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Tarde
42385,18:00h00-18:30h00,Tebaida,B,Pradera,90s,Hombre,No,Redes Sociales,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Tarde
42384,15h00 -17h00,Loja,J,Independencia,00s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,Sólo,A pie,Cada día,Total Acuerdo,NA,Mañana
42384,14h00-17h19,San Sebastian,C,Rosales,70s,Mujer,Si,Redes Sociales,Si,A veces,A pie,Familia,A pie,Cada día,Acuerdo,NA,Tarde
42386,NA,Parque Bolivar,G,San Jose,90s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
42386,NA,Parque Bolivar,G,Av Orillas del Zamora,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,Mensual,Tarde
42386,NA,Parque Bolivar,G,La Paz,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
42386,NA,Parque Bolivar,G,Las Pitas,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
42386,NA,Parque Bolivar,G,Sauces Norte,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
42386,NA,Parque Bolivar,G,El Valle,90s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,Mensual,Mañana
42387,15h00 -17h00,Loja,H,Las Pitas,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Sólo,Bicicleta,Cada día,Acuerdo,NA,Noche
NA,NA,NA,F,Centro,90s,Hombre,Si,Redes Sociales,Si,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
NA,NA,NA,F,Centro,90s,Hombre,Si,Redes Sociales,No,A veces,A pie,Amigos,Bicicleta,Cada día,Total Acuerdo,NA,Mañana
NA,NA,NA,F,Centro,90s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,Sólo,A pie,Cada día,Total Acuerdo,NA,Noche
NA,NA,NA,F,Centro,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
NA,NA,NA,F,Centro,90s,Mujer,Si,Redes Sociales,Si,A veces,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Noche
42385,15:00h00-15:30h00,Parque de los Enamorados,B,Daniel Alvarez,90s,Hombre,Si,Redes Sociales,Si,A veces,Bicicleta,Sólo,A pie,Cada día,Total Acuerdo,Mensual,Noche
42019,15h00 -17h00,Loja,I,Sauces,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Sólo,Bicicleta,Cada día,Acuerdo,Mensual,Tarde
42384,14h00-17h08,San Sebastian,C,Argelia,90s,Mujer,Si,Redes Sociales,Si,A veces,A pie,Familia,A pie,Cada día,Total Acuerdo,NA,Mañana
