Observador,Decada,Sexo,ConoceCiclovia,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,Frecuencia,DeAcuerdo,ConQFrecuencia,Horario
JR,80s,Hombre,No,,No,No,,,A pie,diario,1,nunca,
JR,80s,Mujer,No,,No,No,,,A pie,diario,1,nunca,
JR,80s,Hombre,No,,No,No,,,A pie,diario,1,,
JR,90s,Mujer,No,,No,No,,,A pie,diario,5,de vez en cuando,tarde
JR,90s,Mujer,No,,No,No,,,A pie,diario,5,semanal,mañana
JR,90s,Hombre,No,,No,No,,,A pie,diario,1,de vez en cuando,noche
JR,90s,Mujer,No,,No,No,,,A pie,semanal,5,mensual,noche
JR,90s,Mujer,No,,No,No,,,A pie,semanal,5,mensual,mañana
JR,90s,Hombre,No,,No,No,,,A pie,semanal,1,nunca,
JR,90s,Hombre,No,,No,No,,,Bicicleta ,de vez en cuando,5,mensual,mañana
JR,90s,Mujer,No,,No,No,,,A pie,de vez en cuando,5,mensual,mañana
JR,90s,Hombre,No,,No,No,,,Bicicleta ,mensual,5,semanal,mañana
JQ,60s,Hombre,No,,No,No,,,A pie,diario,4,mensual,noche
JQ,70s,Mujer,No,,No,No,,,A pie,diario,5,mensual,tarde
JQ,80s,Mujer,No,,No,No,,,A pie,diario,5,mensual,mañana
JQ,90s,Mujer,No,,No,No,,,A pie,diario,4,semanal,tarde
JQ,50s,Hombre,No,,No,No,,,A pie,semanal,3,nunca,mañana
JQ,50s,Hombre,No,,No,No,,,A pie,semanal,3,de vez en cuando,noche
JQ,80s,Hombre,No,,No,No,,,Bicicleta ,de vez en cuando,4,de vez en cuando,mañana
JQ,60s,Mujer,No,,No,No,,,A pie,semanal,4,de vez en cuando,tarde
JQ,60s,Mujer,No,,No,No,,,A pie,semanal,4,de vez en cuando,mañana
JQ,60s,Mujer,No,,No,No,,,A pie,semanal,4,mensual,noche
JQ,80s,Hombre,No,,No,No,,,A pie,semanal,4,de vez en cuando,noche
JQ,80s,Hombre,No,,No,No,,,Otro Veh’culo,semanal,5,semanal,tarde
JC,80s,Mujer,No,,Si,No,,,A pie,diario,5,semanal,mañana
JC,80s,Hombre,No,,No,No,,,A pie,diario,4,de vez en cuando,mañana
JC,80s,Mujer,No,,No,No,,,A pie,diario,5,mensual,noche
JC,90s,Mujer,No,,No,No,,,A pie,diario,4,de vez en cuando,noche
JC,90s,Hombre,No,,No,No,,,A pie,diario,5,semanal,noche
JC,60s,Hombre,No,,No,No,,,A pie,mensual,4,mensual,tarde
JC,90s,Hombre,No,,Si,No,,,A pie,mensual,5,de vez en cuando,tarde
JC,90s,Mujer,No,,No,No,,,A pie,semanal,3,mensual,tarde
PC,60s,Hombre,No,,No,No,,,A pie,diario,3,nunca,noche
PC,60s,Mujer,No,,No,No,,,A pie,diario,4,nunca,noche
PC,70s,Mujer,No,,No,No,,,A pie,diario,4,de vez en cuando,mañana
PC,70s,Hombre,No,,No,No,,,A pie,diario,1,nunca,noche
PC,80s,Hombre,No,,No,No,,,A pie,diario,5,semanal,tarde
PC,80s,Hombre,No,,Si,No,,,A pie,diario,3,de vez en cuando,mañana
PC,80s,Mujer,No,,No,No,,,A pie,diario,4,de vez en cuando,tarde
PC,80s,Hombre,No,,No,No,,,A pie,diario,4,de vez en cuando,noche
PC,90s,Mujer,No,,No,No,,,A pie,diario,3,de vez en cuando,noche
PC,90s,Hombre,No,,Si,No,,,A pie,diario,1,nunca,noche
PC,90s,Mujer,No,,No,No,,,A pie,diario,1,nunca,tarde
PC,90s,Hombre,No,,No,No,,,A pie,diario,1,nunca,tarde
PC,90s,Hombre,No,,No,No,,,Patineta,semanal,4,semanal,tarde
PC,90s,Mujer,No,,No,No,,,A pie,semanal,4,de vez en cuando,noche
PC,90s,Mujer,No,,No,No,,,A pie,de vez en cuando,5,semanal,tarde
PC,90s,Hombre,No,,No,No,,,A pie,mensual,4,de vez en cuando,mañana
PC,90s,Mujer,No,,No,No,,,A pie,semanal,2,de vez en cuando,noche
AC,70s,Mujer,Si,Participante,No,A veces,Bicicleta,Familia ,Bicicleta ,diario,5,semanal,mañana
AC,80s,Hombre,Si,Prensa ,No,A veces,,,A pie,diario,5,mensual,mañana
